GO:0051091	Q12933 Q12888 P31749 Q09472 Q92731 P56524 P15336 P35222 O14641 Q9HBH7 P60484 O60341 O60674 Q99497
GO:0051090	P15336 Q15759 P05412 P27361
GO:0007568	Q14525 P31749 P29353 P16220 P40763 Q00653 O14543 P49840 P35221 P60484 P05412 P49841 Q02962
GO:0008630	P27986 P40692 P23025 Q96EB6 P43246 P78527
GO:0071407	P31749 P40763 Q92731 Q5S007 P19838 P02671 P35222 P08238 Q00987 P42574 O15169
GO:0042542	P05412 P10809 P29353 P42574 Q96EB6 Q13131 Q99497
GO:0042493	P10809 P54274 Q92731 P05556 O14543 P60484 Q00987 Q92769 P05305 P01106 P04083 P29972 P40763 P56524 Q9UBC3 P35222 P04637 P38936 Q13469 Q99497 P05412 P16220 P49841 Q03135 P25054 P42574
GO:0010629	Q9NQ87 Q02750 P31749 P16220 P60953 Q96EB6 P01112 P35222 P06213 P38936 Q9UBP5 Q00987 Q99497
GO:0042590	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P30480 Q15008
GO:0008380	Q53GS9 O75400 P61326 P38159 O00422 Q15637 Q13573 P67775 P30153 Q99459 Q9UBB9
GO:0071560	Q12891 P16220 P05305 P07947 Q92769 Q05397 Q03135 P02751
GO:0045944	P05067 P54253 P31749 Q12891 Q92731 P01106 P16333 P07947 Q13526 Q13573 Q9Y6K9 P78527 Q9NQ87 P00533 Q09472 Q92905 P49639 Q9HBH7 P19838 P05305 Q99814 Q92769 P27361 O60341 Q06330 Q02962 P06400 Q12888 P38159 Q02297 P40763 P56524 Q15319 Q00653 P35222 P04637 Q9UBP5 O43353 Q13469 Q12778 Q99497 Q9UP52 P0CG48 P27986 P05412 P13725 P16220 O60674 P0CG47 P25791 Q96EB6 P15336 P01112 P09429 P49841 P39880
GO:0002755	P0CG48 Q15759 Q15750 P05412 P10809 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0006006	P31749 Q9UQK1 P42336 P0CG47 P62158 P0CG48 Q13131 P36871
GO:0070374	P00533 P05412 Q92731 P02671 P09429 P01112 P35916 P27361 Q969H0 P60484 O43353
GO:0000187	Q15759 Q15750 P0CG48 P29353 Q5S007 P0CG47 Q02750 P27361 P06213 O43353 Q9Y6K9 Q13131
GO:0000186	O00487 Q02750 O00231 P20936 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P17980 P27361 P46108 Q05397 Q5S007 P19174 Q13200 Q02297 P0CG48 O60674 P0CG47 P62158 P62195 P01112 Q13554
GO:1990090	P05067 P16220 P25054 P31749 Q99459
GO:0051384	P04083 P29353 O14543 P02751 P06213 P38936 Q03135 P42574
GO:0030324	Q99814 Q09472 Q15750 P62136 P35222 P39880 Q969H0 P46379
GO:0034138	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0071380	Q13131 P54646 P31749 P02751
GO:0042059	P00533 P62993 P0CG48 O14964 P0CG47 P60953 P63010
GO:0097193	P63104 Q04917 P27348 P31749 P31946 Q13616 P61981 Q93034 P01112 P04637 P38936 P42574
GO:0010667	Q9UBP5 Q02297 O60674 O15530 Q13418
GO:0050900	P27986 P62993 P05556 P42336 P19174 P29353 P07947 P35579 P02751 Q03135 P01112
GO:0051439	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 P17980 Q15008
GO:0032869	P27986 P31749 O15530 P29353 P61981 P49840 P06213 Q12778 P78527
GO:0032868	P29353 Q96EB6 O14543 P06213 P49841 Q12778
GO:0051437	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 P17980 Q15008
GO:0051436	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
GO:0007275	P31749 Q8N9N5 Q9NQ87 P00533 Q04724 P49639 Q9HBH7 Q99814 Q05397 O60341 Q02962 Q7Z3S9 Q9UM82 P21817 Q13554 O14641 P04637 Q9UBP5 P13725 O95863 P25791 Q96EB6 P49841 P39880 O15169
GO:0051301	P06400 Q53GS9 P62140 P54274 P12270 O75400 P62136 Q00535 Q99816 Q9NWV8 Q9BRK4 Q08379 Q53GT1
GO:0002474	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P30480 Q15008
GO:0032355	P04083 P40763 Q92731 Q9UBC3 P02671 O14543 P06213 P60484 P35222 P42574 P49841
GO:0001525	P35579 P05412 P42336 Q96EB6 Q99814 P29353 P35916 Q05397 P60484 Q03135 Q06330 P02751
GO:0045732	Q13620 P21580 P49841 P49840 P25054 Q12778 O15169
GO:0006325	P61964 Q09472 O00422 O60674 Q96EB6 P15336 Q92769 O43463 O60341 Q15047 Q9UPT9
GO:0040008	P30153 P13725 P29353 P67775 Q99816 O14543
GO:0010332	P01106 O14543 P04637 Q03135 Q13131 P78527
GO:0002479	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P62195 Q13200 P17980 P30480 Q15008
GO:0043065	P31749 P10809 P54274 Q92731 P05556 O43353 P60484 P78527 O00422 P04083 P41218 P35222 P04637 P05412 Q12778 P0CG48 P16220 O60674 P0CG47 Q96EB6 P09429 P49841 P25054 P42574
GO:0010467	O00487 Q15759 P31749 O00231 Q92731 Q96I59 P20674 O00483 Q96EB6 Q13131 P61326 Q15008 Q04917 P31946 P25786 O00422 Q99460 P01106 Q92769 P17980 P49790 O43159 Q06330 P27361 P27348 P30153 P38159 P10606 P12270 Q9UBC3 P54646 P67775 Q13200 P04637 Q99459 Q09472 P63104 P0CG48 O43189 P0CG47 P62195 Q13573 P61981 Q53GS9 O43463
GO:1900740	P63104 Q04917 P27348 P31749 P31946 P61981 P04637
GO:0045814	O43159 O43189 O00422 Q9UBC3 Q96EB6 Q92769 O43463
