GO:0004674	Q59H18 P31749 Q13177 Q13523 P53355 P53350 Q9H422 P19525 P78527 Q8WZ42 Q8NB16 Q13315 Q13418 Q13501 P06493 Q09013 Q15831 Q5S007 P24941 Q13043 P52564 O15530 P10398 P04049 P49841 P42345
GO:0070412	P05412 Q15796 P35813 P09874 P35222 Q15327 Q13485 P01100 P84022 O15169
GO:0070411	Q13485 Q15796 P35222 O15169
GO:0005178	P17301 P12814 P49023 Q86UX7 Q03001 P35968 Q13418 P14136 P12931 P05556 P49841 P02751 O43707 P07996 P19320 P35609
GO:0030331	P49407 O75376 P12931 P35222 P17844 A5YKK6
GO:0030235	P31749 P08238 P62158 P03372 P63167 P07900
GO:0001047	Q00839 Q9UBN7 Q09472 Q9UKV8 Q15424 Q92769 O00716 P15173 Q9UL18 P15172 P24522
GO:0061630	Q13404 Q9Y3C7 P40337 Q6ZNA4 Q9HAU4 Q969Q1 Q9UJ41 Q9UNE7 Q9Y4K3 Q9BTT4 P60953 Q7Z6E9 Q00987 Q6UWE0
GO:0046332	Q92793 Q6ZNA4 P21333 Q9HAU4 Q15796 Q9Y4E8 P98082 Q13573 P35222 P29590 Q9UNE7 P12757 P84022 O15169
GO:0000979	P42229 P08047 P42224 P01100 P04637 Q06330 Q09472
GO:0031996	P62158 Q9Y4K3 P63000 P60953
GO:0042975	Q9Y6K9 Q00987 O75376 Q92793 Q92731
