hf.14	hf.19	hf.21	hf.24	hf.26	hf.27	hf.8	hf.30	hf.32	hf.48
Q13011	P01034	E5RIP1	A0A0A0MS51	P25398	A0A087WZY2	A0A087WTL3	K7EM18	P62249	O14561
K7ERT8	P22352	Q9UJY1	G5E9R0	H0Y9V9	J3QQ67	O14561	A0A0A0MR13	J3KTJ3	H0YHX9
H0YEN5	H3BUK8	D6RD47	P63220	H3BR70	C9JXB8	H0Y9I4	P62701	V9GZ37	P13639
M0QZ43	P15259	H0YHX9	H0Y9R4	K7ERT8	F8VX62	H0YJJ7	P62249	P10606	Q9Y6M9
Q5JPU3	H0Y9I4	A0A0C4DH86	H0YEN5	A8MUD9	E9PKU4	P67809	C9JXB8	P62244	M0QZ43
Q02878	P63220	H0Y9R4	M0QZ43	F8WD96	P04632	O00217	P22352	Q5T457	J3QRC4
P25398	D3YTB1	H3BUK8	H0YN73	K7EJ20	M0QX67	P63220	H3BU78	J3QQ67	P46783
F8WD96	J3QQ67	Q96S96	H0YLP6	E9PK60	P62701	H7C068	P08574	H0YN73	H0YE72
D6R9H7	F8WBR5	P25398	O43676	H3BNK3	P63220	H7C1Q3	P30086	G3XAN0	P30086
H3BSJ9	G3XAN0	H3BU78	J3KTJ3	H0YK48	Q13011	P63313	H0YLP6	A0A0A0MR13	Q12988
D6R9C3	P30086	P62701	P08708	P01034	Q9H3K2	F5GXK7	H3BSJ9	D6R9C3	F8WD96
B8ZZ51	P48047	P13639	P30086		D3YTB1	Q5JPU3	P00441	P08574	F8VYN4
F5H747	E5RIP1	P62269	H3BU31		P22352	P01034	Q5JPU3	E9PH64	H0YHD8
A0A0A0MTS2	P04632	H0YFA4	Q9H3K2		O43920	H0YHX9	P63220	P63220	J3QQT9
J3KNU0	E9PKU4	H0YJJ7	F8WD96		H7C086	Q99798	P08708	M0R0I6	E9PH64
K7EQM4	H3BU78	H7C068	J3QQ67		P48047	Q02878	H0YFA4	P17568	P08670
P63220	A0A096LP55	H0Y9V9	J3QRC4		G5E9R0	K7EQM4	H0YHX9	H9ME53	K7EQM4
J3QQT9	A0A0A0MR13	P06858	Q9Y6M9		U3KQ52	P62424	J3QQT9	J3QRC4	E9PJK1
H0YF23	E9PH38	H0YEN5	F8WBR5		P25398		E5RIP1	P30086	P0CJ75
F8W727	D6R9C3	G3V192	J3KMX5		P20674		H0YEN5	D6R9H7	G5E9G0
Q12988	P62906	Q9H3K2	P00441		C9JMY1		O43920	A0A075B6E2	P56381
E9PH38	A0A087WZY2	P22352	A8MX12		Q9Y6M9		P06858	P51970	Q9Y5U8
P62244	I3L401	P63220	H3BUK8		J3KNU0		A0A096LP55	P16860	F8WEI7
K7EM18	P15121	H0YN73	K7EM18		A0A0A0MTS2		H0YHD8	H3BU78	J3KRK2
A0A0C4DH86	O43920	K7EQD3	Q13011		Q16446		O43676	P08708	A8MUI2
E9PH64	H3BU31	D6RIE3	A0A075B6E2		K7EM18		H3BU31	A0A096LP55	P20674
P01160	J3JS69	E9PH38	P83731		P62906		H3BUK8	Q6NXQ3	P08574
A8MX12	K7EQM4	J3QQ67	P51970		H3BR70		A0A075B6E2	H3BUK8	Q16446
H9ME53	J3QRC4	K7EQM4	P08574		M0QZ43		G5E9G0	P00441	Q13011
H0Y9I4	H0YF23	P08574	O60739		O60739		H0YN73	E5RIP1	G3V1Y7
F8WBR5	U3KQ52	A0A075B6E2	K7EQM4		F5H747		P51970	P22352	D6R9C3
F8WBT9	A0A0A0MTS2	K7ELA1	A8MUI2		Q9Y6H1		H7C4C5	H0YHX9	M0R181
O60739	P62241	O43920	P62241		G3V3L5		J3QRC4	H0YE72	J3KNU0
D3YTB1	P56381	H3BR70	P62906		H0YHX9		E5RIR0	P56381	A0A0A0MTS2
